Nom méthode;Famille méthode de contrôle biologique;Sous-famille méthode de contrôle biologique;Type de traitement;Partie traitée;Mode d'action;Groupe ciblé;Cible principale;"Autres caractéristiques (précision; nom commercial; caractéristiques d'emploi…)";Stade d'application;RDD ou OAD;Nombre d'application;Dose application;Niveau de satisfaction de l'utilisation de la méthode;Filière;Cultures;Pleine terre ou abri;Période expérimentation;Nom du projet;Site expérimental;Code postal site;Nom du système;Lien fiche SYSTEME
Steinernema carpocapsae;Macro-organismes;Nématodes parasites d'insectes;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;"Nématodes parasites d'insectes. Contre les larves hivernantes; pluvérisation sur sol et troncs après récolte";Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf;;;;
Tagètes et romarin;Plantes de service;Plantes répulsives;Insecticides;Aérienne;Plantes répulsives;Pucerons;Pucerons;Installation de plantes répulsives;Aucun avis émis;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Melrose;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Melrose.pdf;;;;
Granulovirus;Micro-organismes;Préparation virale;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;Alterner les ilots pour éviter les résistances ou choisir des isolats adaptés;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;asphyxie les jeunes larves et gène l'installation des colonies;Mitigé;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Pucerons;Pucerons;perturbe le vol de retour du pucerons cendré à l'automne;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Carpocapse;500 à 1000 diffuseurs /ha Confusion sexuelle;Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf;;;;
Steinernema carpocapsae;Macro-organismes;Nématodes parasites d'insectes;Insecticides;Aérienne;Parasitisme;Lépidoptères;Carpocapse;"Nématodes parasites d'insectes. Contre les larves hivernantes; pluvérisation sur sol et troncs après récolte";Bon;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf;;;;
Tagètes et romarin;Plantes de service;Plantes répulsives;Insecticides;Aérienne;Plantes répulsives;Pucerons;Pucerons;Installation de plantes répulsives;Aucun avis émis;Arboriculture;Pommier;Plein champ;2005-2015;BioREco;INRAE Gotheron;26320;ECO Smoothee;http://ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BioREco_ECO%20Smoothee.pdf;;;;
Phosphonates de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicides sytémique vis-à-vis des oomycètes;Oomycètes;Mildiou;Phosphonate de potassium ETONAN;?;Aucun avis émis;Légumes;Artichaut;Plein champ;2012-2013;BREIZLEG;SECL-Terre d'essais;22740;Rotation 1 - 50% intrants;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BREIZLEG_SECL_-50%25.pdf;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;Bon;Légumes;Brocoli;Plein champ;2013-2018;BREIZLEG;SECL-Terre d'essais;22740;Rotation 1 - 50% intrants;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_BREIZLEG_SECL_-50%25.pdf;Non spécifié;;;;
Canavalia ensiformis (Fabacées);Plantes de service;Plantes nématicides;Nématicides;Sol;Biofumigation;Nématodes;Nématodes;Plante de service Canavalia ensiformis (Fabacées);Propriété complémentaire d'une plante de service;Aucun avis émis;Cultures tropicales;Canne à sucre;Plein champ;2013-2017;CanécoH;Saint Marie;97438;Plantes de services intercalaire;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_CanecoH_Plante%20de%20services%20intercalaire.pdf;;;
Glu;Autres méthodes;Barrières;Insecticides;Aérienne;Effet barrières;Dermaptères;Forficules;;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;Sica CENTREX;66440;ECO -50 % mécanique;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME-Arbo_CapREd_Centrex%20ECO%202.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet barrières;Hémiptères;Psylles;kaolinite calcinée;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;Sica CENTREX;66440;ECO -50 % mécanique;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME-Arbo_CapREd_Centrex%20ECO%202.pdf;;;;
Phéromone diptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Piégeage massif par phéromone;Diptères;Mouches;Piégeage massif;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;Sica CENTREX;66440;ECO -50 % mécanique;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME-Arbo_CapREd_Centrex%20ECO%202.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Mineuses;Confusion sexuelle;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;Sica CENTREX;66440;ECO -50 % mécanique;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME-Arbo_CapREd_Centrex%20ECO%202.pdf;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;Sica CENTREX;66440;ECO -50 % mécanique;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME-Arbo_CapREd_Centrex%20ECO%202.pdf;;;;
Glu;Autres méthodes;Barrières;Insecticides;Aérienne;Effet barrières;Dermaptères;Forficules;;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Kaolin;Substances naturelles;Origine minérale;Insecticides;Aérienne;Effet Barrières;Hémiptères;Psylles;arrivée des psylles fin hiver et début printemps;Aucun avis émis;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Nichoir;Autres méthodes;Piégeages;Insecticides;Aérienne;Piégeages massifs;Dermaptères;Forficules;Pour forficules (pot de pailles);Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Nichoir;Autres méthodes;Refuge perchoir;Insecticides;Aérienne;Abris pour faune auxiliaire;Lépidoptères;Tordeuses;;Aucun avis émis;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Perchoir;Autres méthodes;Refuge perchoir;Favorise les auxilaires;Aérienne;Abris pour faune auxiliaire;Vertébrés;Campagnols;;Aucun avis émis;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Tordeuses;Confusion sexuelle;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;;Insatisfaisant;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;CTIFL de Balandran;30127;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Balandran_Eco-50%25.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Insecticides;Aérienne;Asphyxies;Pucerons;Pucerons;Une application avant débourment;Mitigé;Arboriculture;Prunier d'ente;Plein champ;2013-2018;CAP ReD;INRA/BIP;47320;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_INRA-BIP_Eco-50%25.pdf;;;;
Glycine-bétaïne;Substances naturelles;Origine végétale;Fongicides;Aérienne;Effet physiologique;Ascomycètes;Moniliose;"GREENSTIM (regulation osomotique; pas d'homologation) Remplace le premier traitement (limite les microfissures)";Bon;Arboriculture;Prunier;Plein champ;2014-2017;CAP ReD;AREFE;55210;ECO;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Arefe_Eco.pdf;;;;
Hydrogénocarbonate de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Tavelure;Bon;Arboriculture;Prunier;Plein champ;2014-2019;CAP ReD;AREFE;55210;ECO;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Arefe_Eco.pdf;Non spécifié;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Tavelure;;Bon;Arboriculture;Prunier;Plein champ;2014-2018;CAP ReD;AREFE;55210;ECO;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_Arefe_Eco.pdf;;;;
Glu;Autres méthodes;Barrières;Insecticides;Aérienne;Effet barrières;Dermaptères;Forficules;;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;SERFEL;30800;ECO-Innovant;https://ecophytopic.fr/sites/default/files/2020-06/Fiche%20SYSTEME_CAP%20ReD_Serfel_Eco%20Innovant.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Mineuses;Confusion sexuelle;Bon;Arboriculture;Abricotier;Plein champ;2013-2018;CAP ReD;SERFEL;30800;ECO-Innovant;https://ecophytopic.fr/sites/default/files/2020-06/Fiche%20SYSTEME_CAP%20ReD_Serfel_Eco%20Innovant.pdf;;;;
Glu;Autres méthodes;Barrières;Insecticides;Aérienne;Effet barrières;Dermaptères;Forficules;Facilité par tronc de 1 mètre;Bon;Arboriculture;Abricotier;Plein champ;2015-2018;CAP ReD;INRA de Gotheron;26320;Ecophyto 4 palmette 120 + filets/bâche;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_CAP%20ReD_Gotheron_Eco%204.pdf;;;;
Phéromone lépidoptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Confusion sexuelle;Lépidoptères;Tordeuses;500 diffuseurs/ha  Confusion sexuelle;Bon;Arboriculture;Abricotier;Plein champ;2015-2018;CAP ReD;INRA de Gotheron;26320;Ecophyto 4 palmette 120 + filets/bâche;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_CAP%20ReD_Gotheron_Eco%204.pdf;;;;
Huiles diverses;Substances naturelles;Origine végétale;Acaricides;Aérienne;Asphyxies;Acariens;Acariens;Une application avant débourment;Bon;Arboriculture;Prunier d'ente;Plein champ;2013-2018;CAP ReD;INRA/BIP;47320;ECO -50%;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_CAP%20ReD_INRA-BIP_Eco-50%25.pdf;;;;
Anagrus atomus;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Hémiptères;Empoasca vitis;Introduit avec des rosiers;Aucun avis émis;Vigne;Plein champ;2013-2017;EcoViti Val de Loire-Centre;Lycée Amboise;37402;Dephy 1;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_EcoViti%20Val%20de%20Loire-Centre_Amboise.pdf;Non spécifié;;;;
"Coccinelles; rhizobius lophantae";Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Hémiptères;Cochenilles;Coccinelles;Insatisfaisant;Arboriculture;Kiwi Hayward;Plein champ;2012-2016;Cors'Expé;AREFLEC San Giuliano;20230;Kiwi 2004 - 50 %;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Cors%27Exp%C3%A9_Areflec_Kiwi-50%25.pdf;;;;
Encarsia berlesei;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Hémiptères;Cochenilles;Hyméno.;Aucun avis émis;Arboriculture;Kiwi Hayward;Plein champ;2012-2016;Cors'Expé;AREFLEC San Giuliano;20230;Kiwi 2004 - 50 %;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Cors%27Exp%C3%A9_Areflec_Kiwi-50%25.pdf;;;;
Neodryinus typhlocibae;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Hémiptères;Metcalfa pruinosa;Hyménoptères parasitoïdes;Bon;Arboriculture;Kiwi Hayward;Plein champ;2012-2016;Cors'Expé;AREFLEC San Giuliano;20230;Kiwi 2004 - 50 %;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Cors%27Exp%C3%A9_Areflec_Kiwi-50%25.pdf;;;;
Aphytis melinus;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Hémiptères;Cochenilles;Hyménoptères parasitoïdes;Bon;Arboriculture;Clémentine;Plein champ;2012-2016;Cors'Expé;Lycée agricole de Borgo;20290;SRA 85 - 50 %;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Cors%27Exp%C3%A9_Borgo_SRA85-50%25.pdf;;;;
Nichoir;Autres méthodes;Refuge perchoir;Insecticides;Aérienne;Piégeages massifs;Hémiptères;Cochenilles;Nichoirs à forficules Tube ou pot;Aucun avis émis;Arboriculture;Clémentine;Plein champ;2012-2016;Cors'Expé;Lycée agricole de Borgo;20290;SRA 85 - 50 %;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Cors%27Exp%C3%A9_Borgo_SRA85-50%25.pdf;;;;
Phéromone diptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Piégeage massif par phéromone;Diptères;Mouches;80 pièges/ha Piégeage massif;Bon;Arboriculture;Clémentine;Plein champ;2012-2016;Cors'Expé;Lycée agricole de Borgo;20290;SRA 85 - 50 %;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Cors%27Exp%C3%A9_Borgo_SRA85-50%25.pdf;;;;
Tagètes;Plantes de service;Plantes nématicides;Nématicides;Sol;Biofumigation;Nématodes;Nématodes;Aucun avis émis;Légumes;Carotte;Plein champ;2014-2018;DEPHY Carotte;INVENIO Commensacq;40210;Ecophyto+;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHYCarotte_Commensacq_Ecophyto_Invenio.pdf;Non spécifié;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;DIPEL;Oui oad et rdd souvent évoqués;Bon;Légumes;Haricot;Plein champ;2014-2018;DEPHY Carotte;INVENIO Commensacq;40210;Ecophyto+;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHYCarotte_Commensacq_Ecophyto_Invenio.pdf;;;
Tagètes;Plantes de service;Plantes nématicides;Nématicides;Sol;Biofumigation;Nématodes;Nématodes;Aucun avis émis;Légumes;Carotte;Plein champ;2014-2018;DEPHY Carotte;INVENIO Ychoux;40160;Ecophyto;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHYCarotte_Ychoux_Ecophyto_Invenio_VF.pdf;Non spécifié;;;;
Ail;Substances naturelles;Origine végétale;Nématicides;Sol;Répulsif;Diptères;Mouches;Répulsifs à base d'ail;Insatisfaisant;Légumes;Carotte;Plein champ;2014-2018;DEPHY Carotte;SILEBAN Créances;50710;Ecophyto+;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_DEPHY%20Carotte_Cr%C3%A9ances_Ecophyto%2B.pdf;;;;
Trichoderma atroviride;Micro-organismes;Préparation fongique;Nématicides;Sol;Antagonisme;Nématodes;Nématodes;Trichoderma atroviride (souche I 1237);associé avec nématicides à 1/3 de dose;Bon;Légumes;Carotte;Plein champ;2014-2018;DEPHY Carotte;SILEBAN Créances;50710;Ecophyto+;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_DEPHY%20Carotte_Cr%C3%A9ances_Ecophyto%2B.pdf;;;
Sorgho anti nématodes;Plantes de service;Plantes nématicides;Nématicides;Sol;Fumigation;Nématodes;Nématodes;Sorgho nématicides en début de rotation;Fauche au bon stade et enfoussiement;Aucun avis émis;Légumes;Carotte;Plein champ;2014-2018;DEPHY Carotte;SILEBAN Montfarville;50760;Ecophyto+;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_DEPHY%20Carotte_Montfarville_Ecophyto%2B.pdf;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;Bon;Légumes;Chou-fleur;Plein champ;2014-2018;DEPHY Carotte;SILEBAN Montfarville;50760;Ecophyto+;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_DEPHY%20Carotte_Montfarville_Ecophyto%2B.pdf;Non spécifié;;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;Application dès observation des limaces (seuils BSV);Bon;Légumes;Blé;Plein champ;2013-2017;DEPHY EXP NPDC;Pôle légumes;62840;IFT50;http://www.ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_DEPHY%20EXPE%20NPDC_PL_IFT%2050.pdf;;;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;DIPEL DF;Nécessité d'anticiper les traitements : fonctionne sur jeunes chenilles;Pas de tolérence pour les chenilles (Piérides);Bon;Légumes;Chou-fleur;Plein champ;2013-2017;DEPHY EXP NPDC;Pôle légumes;62840;IFT50;http://www.ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_DEPHY%20EXPE%20NPDC_PL_IFT%2050.pdf;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Ingestion;Mollusques;Limaces;Appliqué en préventif sous les p17;Bon;Légumes;Chou-fleur;Plein champ;2013-2017;DEPHY EXP NPDC;Pôle légumes;62840;IFT50;http://www.ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_DEPHY%20EXPE%20NPDC_PL_IFT%2050.pdf;;;;
Acide pélargonique;Substances naturelles;Origine végétale;Herbicides;Sol;Herbicides;Végétaux;Défanage;Beloukha;Trois semaines avant récolte;Bon;Légumes;Pomme de terre;Plein champ;2013-2017;DEPHY EXP NPDC;Pôle légumes;62840;IFT50;http://www.ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_DEPHY%20EXPE%20NPDC_PL_IFT%2050.pdf;;;
Hyménoptères parasitoïdes;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Prédateurs et parasitoïdes;Pucerons;Pucerons;Auxiliaires naturelles présents;Aucune intervention;Utilisation de seuils tenant compte des auxiliaires;Bon;Légumes;Pomme de terre;Plein champ;2013-2018;DEPHY EXP NPDC;Pôle légumes;62840;IFT50;http://www.ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_DEPHY%20EXPE%20NPDC_PL_IFT%2050.pdf;;
Chrysoperla carnea;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Chrysoperla carnea;Lachers;1 larve/plante;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;Tour en sologne;41250;Fraise_41;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_LCA_IFT50.pdf;;
Neoseiulus cucumeris;Macro-organismes;Acariens  prédateurs;Insecticides;Aérienne;Acariens prédateurs;Thrips;Thrips;Lachers;Toutes les 4 à 5 semaines;Bon;Légumes;Fraise;Serres verre;2013-2018;DEPHY Fraise;Tour en sologne;41250;Fraise_41;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_LCA_IFT50.pdf;;;
Phytoseiulus persimilis;Macro-organismes;Acariens  prédateurs;Acaricides;Aérienne;Acariens prédateurs;Acariens;Acariens;Lachers;1 à 2;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;Tour en sologne;41250;Fraise_41;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_LCA_IFT50.pdf;;;
Amblyseius swirskii;Macro-organismes;Acariens  prédateurs;Insecticides;Aérienne;Acariens prédateurs;Thrips;Thrips;Lachers en mai et en préventif;Mitigé;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;;
Chitosan et pectine;Substances naturelles;Origine végétale et animale;Fongicides;Aérienne;Stimulateur des défenses des plantes;Ascomycètes;Oïdium;COS-OGA Bastid;?;2 L/ha;Bon;Légumes;Fraise;Serres verre;2013-2018;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;
Chrysoperla carnea;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Larves de Chrysopes;dès que la présence de pucerons est détectée;Mitigé;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;
Feltiella acarisuga;Macro-organismes;Insectes parasitoïdes;Acaricides;Aérienne;Parasitoïdes;Acariens;Acariens;"(Feltiella (cécidomyie : F. acarizuga ?); Stethorus (coccinelles); Oligota(Staphylins)) Cécidomyies dont les larves sont prédatrices des acariens";Infestation naturelle;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;
Huile essentielle d'agrumes;Substances naturelles;Origine végétale;Insecticides;Aérienne;Déssechement de la cuticule des insectes  déshydratation  des  structures  externes du champignon (mycélium spores);Thrips;Thrips;Huile essentielle d'orange douce  PREV'AM ou ESSEN'CIEL;Aucun avis émis;Légumes;Fraise;Serres verre;2013-2018;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;;
Hydrogénocarbonate de potassium;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Armicar;Bon;Légumes;Fraise;Serres verre;2013-2018;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;;
Oligota spp.;Macro-organismes;Insectes prédateurs;Acaricides;Aérienne;Prédateurs;Acariens;Acariens;Staphylins prédateurs d'acariens;Infestation naturelle;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;
Orius laevigatus;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Thrips;Thrips;Lachers en juin;Insatisfaisant;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;;
Orius spp.;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Thrips;Thrips;Orius indigène;Infestation naturelle;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;
Phytoseiulus persimilis;Macro-organismes;Acariens  prédateurs;Acaricides;Aérienne;Acariens prédateurs;Acariens;Acariens;lachers;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;;
Soufre;Substances naturelles;Origine minérale;Fongicides;Aérienne;Fongicide de contact multi-sites;Ascomycètes;Oïdium;Soufre mouillable;Bon;Légumes;Fraise;Serres verre;2013-2018;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;;
Stethorus spp.;Macro-organismes;Insectes prédateurs;Acaricides;Aérienne;Prédateurs;Acariens;Acariens;"Coccinelles; prédateurs d'acariens";Infestation naturelle;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;
Syrphes;Macro-organismes;Insectes prédateurs;Insecticides;Aérienne;Prédateurs;Pucerons;Pucerons;Auxiliaires naturelles présents;Infestation naturelle;Bon;Légumes;Fraise;Serres verre;2013-2017;DEPHY Fraise;INVENIO Douville;24140;Dephy;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_DEPHY%20FRAISE_Invenio%20Douville.pdf;;;
