Nom méthode;Famille méthode de contrôle biologique;Sous-famille méthode de contrôle biologique;Type de traitement;Partie traitée;Mode d'action;Groupe ciblé;Cible principale;"Autres caractéristiques (précision; nom commercial; caractéristiques d'emploi…)";Stade d'application;RDD ou OAD;Nombre d'application;Dose application;Niveau de satisfaction de l'utilisation de la méthode;Filière;Cultures;Pleine terre ou abri;Période expérimentation;Nom du projet;Site expérimental;Code postal site;Nom du système;Lien fiche SYSTEME
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;Bactura;Traiter dès les premiers symptômes;Bon;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;Saint Joseph;97480;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Joseph.pdf;;;
Crotalaire;Plantes de service;Plantes de biofumigation;Bactéricides;Sol;Biofumigation;Bactériose;Ralstonia solanacearum;Mis en place avant la culture de la tomate;Aucun avis émis;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;Saint Joseph;97480;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Joseph.pdf;;;;
Mélange fleuri et ligne de maïs;Plantes de service;Plantes attractives;Favorise les auxilaires;Aérienne;Effet attractif;Diptères;Mouches;Aucun avis émis;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;Saint Joseph;97480;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Joseph.pdf;Non spécifié;;;;
Phéromone diptères;Médiateurs chimiques;Phéromones;Insecticides;Aérienne;Détection/piégeages de masse;Diptères;Mouches;Piège à phéromone;Piégeage des males;Bon;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;Saint Joseph;97480;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Joseph.pdf;;;
Spinosad appat;Substances naturelles;Origine bactérienne;Insecticides;Aérienne;Ingestion;Diptères;Mouches;Syneïs;Utilisé durant la culture sur symptômes;Bon;Cultures tropicales;Tomate;Plein champ;2013-2018;RESCAM;Saint Joseph;97480;Expé;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_RESCAM_St%20Joseph.pdf;;;
Trichogrammes;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasitoïdes;Lépidoptères;Pyrale;Hyménoptère  parasitoïde;Bon;Bon;Grandes cultures;Maïs;Plein champ;2012-2017;Reseau PI;Rouffach;68250;SdCi;http://ecophytopic.fr/sites/default/files/Fiche%20Syst%C3%A8me_R%C3%A9seau%20PI_Rouffach_SdCi.pdf;;;
Coniothyrium minitans;Micro-organismes;Préparation fongique;Fongicides;Sol;Parasites des sclérotes;Ascomycètes;Sclérotinia;CONTANS WG;incorporation dans le sol pré-semis;1 par culure sensible;4 kg/ha;Aucun avis émis;Grandes cultures;"Colza; soja";Plein champ;2013-2017;Rés0Pest;Bretenière;21110;Rés0Pest Bretenière;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_R%C3%A9s0Pest_Breteni%C3%A8re.pdf;
Coniothyrium minitans;Micro-organismes;Préparation fongique;Fongicides;Sol;Parasites des sclérotes;Ascomycètes;Sclérotinia;CONTANS WG;incorporation dans le sol pré-semis;1 par culure sensible;4 kg/ha;Aucun avis émis;Grandes cultures;"Colza; soja";Plein champ;2013-2017;Rés0Pest;Lusignan;86600;Rés0Pest Lusignan;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_R%C3%A9s0Pest_Lusignan.pdf;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Lépidoptères;Chenilles;?;2 à 4 selon année;;Bon;Grandes cultures;Pois chiche;Plein champ;2013-2018;Rés0Pest;Mauguio;34130;Rés0Pest Mauguio;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_R%C3%A9s0Pest_Mauguio.pdf;;
Bacillus thuringiensis;Micro-organismes;Préparation bactérienne;Insecticides;Aérienne;Ingestion;Coloéptères;Doryphore;BT sp tenebroinides Novodor FC;?;2;5 l/ha;Bon;Grandes cultures;Pomme de terre;Plein champ;2013-2019;Rés0Pest;Estrées-Mons;80200;Rés0Pest Estrées-Mons;https://ecophytopic.fr/sites/default/files/2020-06/Fiche%20SYSTEME_R%C3%A9s0Pest_Mons.pdf;
Trichogrammes;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Parasites des oeufs de pyrale;Lépidoptères;Pyrale;Trichogramma brassicae  NA;;;XX capsules;Bon;Grandes cultures;Maïs;Plein champ;2013-2018;Rés0Pest;Thiverval-Grignon;78850;Rés0Pest Grignon;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME_Res0Pest_Grignon.pdf;
Coniothyrium minitans;Micro-organismes;Préparation fongique;Fongicides;Sol;Parasites des sclérotes;Champignons;Sclérotinia;Bon;Grandes cultures;Colza;Plein champ;2010-2018;SGC Bretagne;Crécom;22480;SdC Mixte;https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_SGC%20Bretagne_Cr%C3%A9com_SdC%20Mixte.pdf;Non spécifié;;;;
Phosphate ferrique;Substances naturelles;Origine minérale;Molluscicides;Sol;Mollusques;Limaces;Sluxx;Bon;Grandes cultures;Maïs;Plein champ;2011-2017;System-Eco-Puissance4;Toulouse-Lamothe;31600;MM-LI;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME__System-Eco-Puissance4_Lamothe_MMli.pdf;Non spécifié;;;;
Trichogrammes;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Lépidoptères;Pyrale;Hyménoptère  parasitoïde;Bon;Grandes cultures;Maïs;Plein champ;2011-2018;System-Eco-Puissance4;Toulouse-Lamothe;31600;MM-LI;http://www.ecophytopic.fr/sites/default/files/Fiche%20SYSTEME__System-Eco-Puissance4_Lamothe_MMli.pdf;Non spécifié;;;;
Trichogrammes;Macro-organismes;Insectes parasitoïdes;Insecticides;Aérienne;Lépidoptères;Pyrale;Hyménoptère  parasitoïde;Bon;Grandes cultures;Maïs;Plein champ;2011-2017;System-Eco-Puissance4;Dijon-Epoisses;21110;Semis Direct Sous Couvert (S2);https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_Eco4_Epoisses_S4_PIC%20typique.pdf;Non spécifié;;;;
Bandes de navettes;Plantes de service;Plantes pièges;Insecticides;Sol;Plantes attractives;pour attirer les insectes;Mitigé;Grandes cultures;Plein champ;2011-2017;System-Eco-Puissance4;Dijon-Epoisses;21110;Semis Direct Sous Couvert (S2);https://ecophytopic.fr/sites/default/files/2019-12/Fiche%20SYSTEME_Eco4_Epoisses_S4_PIC%20typique.pdf;;;Non spécifié;;;;
